LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_POSTAL_CODE,LCA_CASE_JOB_TITLE,LCA_CASE_WAGE_RATE_FROM,CODE,SALARY RANGE
LAB126,CUPERTINO,95014,PRODUCT DESIGN COMPUTER-AIDED DESIGN SPECIALIST,105000,D,100001 to 125000
LAM RESEARCH CORPORATION,FREMONT,94538,"PRODUCT ENGINEER, SENIOR",105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
MARK LOGIC CORPORATION,SAN CARLOS,94070,"TECHNICAL SALES ENGINEER, COMMERCIAL",105000,D,100001 to 125000
FRONTRANGE SOLUTIONS USA INC.,PLEASANTON,94588,"MANAGER, PROFESSIONAL CONSULTING",105000,D,100001 to 125000
ETOUCH SYSTEMS CORPORATION,FREMONT,94555,BUSINESS SYSTEMS ANALYST,105000,D,100001 to 125000
"SIGNALDEMAND, INC.",SAN FRANCISCO,94111,SENIOR SCIENCE ANALYST,105000,D,100001 to 125000
"SIGNALDEMAND, INC.",SAN FRANCISCO,94111,SENIOR SCIENCE ANALYST,105000,D,100001 to 125000
"TRIGNOS,  INCORPORATED",NEWARK,94560,DIRECTOR OF SOFTWARE ENGINEERING,105000,D,100001 to 125000
"DPI SPECIALTY FOODS, INC.",ONTARIO,91761,IT ANALYST - FINANCE,105000,D,100001 to 125000
"IAC SEARCH & MEDIA, INC.",OAKLAND,94607,SOFTWARE ENGINEER,105000,D,100001 to 125000
"DPI SPECIALTY FOODS, INC.",ONTARIO,91761,IT ANALYST - FINANCE,105000,D,100001 to 125000
"KLOUT, INC.",SAN FRANCISCO,94107,SOFTWARE ENGINEER,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
"ESURANCE INSURANCE SERVICES, INC.",SAN FRANCISCO,94111,SENIOR SOFTWARE DEVELOPER,105000,D,100001 to 125000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER (PRODUCT MANAGER/STRATEGY 3-PROD,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
"NEXON AMERICA, INC.",EL SEGUNDO,90245,SENIOR SYSTEMS ENGINEER,105000,D,100001 to 125000
AVERY DENNISON CORPORATION,PASADENA,91103,PRODUCT MANAGER,105000,D,100001 to 125000
"OAKLEY, INC.",FOOTHILL RANCH,92610,BUSINESS SYSTEMS ANALYST (MM),105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
APPLE INC.,CUPERTINO,95014,MATERIALS PROGRAM MANAGER,105000,D,100001 to 125000
"SALESFORCE.COM, INC.",SAN FRANCISCO,94105,"SENIOR UNIX SYSTEMS ADIMISTRATOR, DATA.COM",105000,D,100001 to 125000
"PAYPAL, INC.",SAN JOSE,95131,SENIOR SOFTWARE ENGINEER,105000,D,100001 to 125000
BROADCOM CORPORATION,IRVINE,92617,"ENGINEER, STAFF II - SYSTEMS DESIGN",105000,D,100001 to 125000
"RICHRELEVANCE, INC.",SAN FRANCISCO,94107,SOFTWARE (JAVA) ENGINEER,105000,D,100001 to 125000
ALTERA CORPORATION,SAN JOSE,95134,FINANCIAL ANALYST 3,105000,D,100001 to 125000
"GUTHY-RENKER, LLC",SANTA MONICA,90405,"SENIOR ANALYST , MODELING AND DATA ANALYSIS",105000,D,100001 to 125000
LAB126,CUPERTINO,95014,SUSTAINING HARDWARE ELECTRICAL ENGINEER,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER IN TEST,105000,D,100001 to 125000
APPLE INC.,CUPERTINO,95014,SOFTWARE ENGINEER,105000,D,100001 to 125000
TWENTIETH CENTURY FOX FILM CORP.,LOS ANGELES,90067,SR. RESEARCH & DEVELOPMENT SOFTWARE ENGINEER,105000,D,100001 to 125000
"SALESFORCE.COM, INC.",SAN FRANCISCO,94105,"MEMBER OF TECHNICAL STAFF, QUALITY ENGINEERING",105000,D,100001 to 125000
"SIGRITY, INC.",CAMPBELL,95008,SENIOR APPLICATIONS ENGINEER,105000,D,100001 to 125000
"PROLIFIC MINDS, INC.",CUPERTINO,95014,SENIOR ANALYST,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
"PLAYDOM, INC., PART OF THE WALT DISNEY COMPANY",MOUNTAIN VIEW,94041,"MANAGER, USER ACQUISITION (STATISTICAL ANALYSIS)",105000,D,100001 to 125000
ROVI CORPORATION,SANTA CLARA,95050,SOFTWARE ENGINEER,105000,D,100001 to 125000
"ID ANALYTICS, INC.",SAN DIEGO,92128,SCIENTIST,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
"PROLIFIC MINDS, INC.",CUPERTINO,95014,SENIOR ANALYST,105000,D,100001 to 125000
"DUCOMMUN LABARGE TECHNOLOGIES, INC.",CARSON,90745,PROGRAM MANAGER RF PRODUCTS,105000,D,100001 to 125000
"KRYPT, INC.",SUNNYVALE,94085,SAP TECHNICAL CONSULTANT (SOFTWARE ENGINEER),105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,BUSINESS ANALYST (CONSUMER OPERATIONS AND USER INS,105000,D,100001 to 125000
"SUNRUN, INC.",SAN FRANCISCO,94105,JAVA SOFTWARE ENGINEER,105000,D,100001 to 125000
"MARIN SOFTWARE, INC.",SAN FRANCISCO,94105,SENIOR FINANCIAL ANALYST,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
"NETAPP, INC.",SUNNYVALE,94089,"MEMBER TECHNICAL STAFF, QUALITY ASSURANCE",105000,D,100001 to 125000
"MARIN SOFTWARE, INC.",SAN FRANCISCO,94105,SENIOR FINANCIAL ANALYST,105000,D,100001 to 125000
"MARIN SOFTWARE, INC.",SAN FRANCISCO,94105,SENIOR FINANCIAL ANALYST,105000,D,100001 to 125000
"SCINTERA NETWORKS, INC.",SUNNYVALE,94086,SENIOR FIRMWARE ENGINEER,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
"RIOT GAMES, INC.",SANTA MONICA,90404,MARKETING STRATEGY & MONETIZATION MANAGER,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
INTEMATIX CORPORATION,FREMONT,94538,SENIOR BUSINESS SYSTEM ANALYST,105000,D,100001 to 125000
INTRIGO SYSTEMS INCORPORATED,PLEASANTON,94588,SYSTEMS ANALYST,105000,D,100001 to 125000
"PHILOTIC, INC.",SAN FRANCISCO,94108,PRODUCT MANAGER,105000,D,100001 to 125000
MARIN SOFTWARE INC.,SAN FRANCISCO,94105,QUALITY ASSURANCE ENGINEER,105000,D,100001 to 125000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER (SOFTWARE DEVELOPER 3),105000,D,100001 to 125000
"ZUORA, INC.",REDWOOD CITY,94065,SR. QA ENGINEER,105000,D,100001 to 125000
TRINET HR CORPORATION,SAN LEANDRO,94577,APPLICATIONS ENGINEER,105000,D,100001 to 125000
"NETAPP, INC.",SUNNYVALE,94089,"MEMBER TECHNICAL STAFF, QUALITY ASSURANCE",105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,DATA SPECIALIST,105000,D,100001 to 125000
ADOBE SYSTEMS INCORPORATED,SAN JOSE,95110,COMPUTER SCIENTIST - MOBILE FLASH CUSTOMER ENGINEE,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
BROMIUM INC.,CUPERTINO,95014,MEMBER OF TECHNICAL STAFF,105000,D,100001 to 125000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,ELECTRONIC ENGINEER (HARDWARE DEVELOPER 2),105000,D,100001 to 125000
"NGMOCO, LLC",SAN FRANCISCO,94107,MARKET RESEARCH ANALYST MANAGER - GLOBAL ALLIANCES,105000,D,100001 to 125000
"NOR1, INC.",SUNNYVALE,94085,USER EXPERIENCE DESIGNER,105000,D,100001 to 125000
"SAMSUNG INFORMATION SYSTEMS AMERICA, INC.",SAN JOSE,95134,SENIOR ENGINEER,105000,D,100001 to 125000
"UBC CLINICAL TECHNOLOGIES, LLC",SAN FRANCISCO,94107,SENIOR PRODUCT DEVELOPER,105000,D,100001 to 125000
ADOBE SYSTEMS INCORPORATED,SAN JOSE,95110,SENIOR TECHNICAL SAP BW DEVELOPER,105000,D,100001 to 125000
BLUE SHIELD OF CALIFORNIA,EL DORADO HILLS,95762,PERFORMANCE ENGINEER CONSULTANT LEAD,105000,D,100001 to 125000
"NETAPP, INC.",SUNNYVALE,94089,"MEMBER TECHNICAL STAFF, SOFTWARE",105000,D,100001 to 125000
"CONVERGENT CONSULTING, INC.",FREMONT,94539,SYSTEMS ANALYST,105000,D,100001 to 125000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,ELECTRONIC ENGINEER (HARDWARE DEVELOPER 2),105000,D,100001 to 125000
"PLAYDOM, INC., PART OF THE WALT DISNEY COMPANY",PALO ALTO,94306,SOFTWARE ENGINEER,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
BROADCOM CORPORATION,IRVINE,92617,"ENGINEER, STAFF II - ELECTRONIC DESIGN",105000,D,100001 to 125000
APPLE INC.,CUPERTINO,95014,SOFTWARE QA & TOOLS ENGINEER,105000,D,100001 to 125000
APPLE INC.,CUPERTINO,95014,SENIOR PANEL PROCESS ENGINEER,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
KAPLAN INTERNATIONAL CENTERS,SANTA BARBARA,93101,EXECUTIVE BUSINESS DIRECTOR,105000,D,100001 to 125000
"OCZ TECHNOLOGY GROUP, INC.",SAN JOSE,95119,APPLICATIONS SOFTWARE ENGINEER,105000,D,100001 to 125000
"OAKLEY, INC.",FOOTHILL RANCH,92610,BUSINESS SYSTEMS ANALYST - BW,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
"GRID DYNAMICS INTERNATIONAL, INC.",FREMONT,94538,SOFTWARE ORIENTED APPLICATIONS ARCHITECT,105000,D,100001 to 125000
"NETAPP, INC.",SUNNYVALE,94089,"MEMBER TECHNICAL STAFF, QUALITY ASSURANCE",105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
"CLAIMS SERVICES GROUP, INC.",SAN DIEGO,92128,SENIOR SOFTWARE ENGINEER,105000,D,100001 to 125000
"SALESFORCE.COM, INC.",SAN FRANCISCO,94105,"MTS, SOFTWARE ENGINEERING",105000,D,100001 to 125000
KAPLAN INTERNATIONAL CENTERS,SANTA BARBARA,93101,EXECUTIVE BUSINESS DIRECTOR,105000,D,100001 to 125000
"BROCADE COMMUNICATIONS SYSTEMS, INC.",SAN JOSE,95134,SOFTWARE ENGINEER,105000,D,100001 to 125000
"UNIVERSITY OF CALIFORNIA, DAVIS",DAVIS,95616,ASS'T PROFESSOR OF CLINICAL DIAGNOSTIC PATHOLOGY,105000,D,100001 to 125000
CEDARS-SINAI MEDICAL CENTER,LOS ANGELES,90048,SENIOR EIS SYSTEMS ADMINISTRATOR,105000,D,100001 to 125000
"MOLINA HEALTHCARE, INC.",LONG BEACH,90802,TEAM LEAD - JD EDWARDS FINANCE,105000,D,100001 to 125000
KLA-TENCOR CORPORATION,MILPITAS,95035,SOFTWARE ENGINEER,105000,D,100001 to 125000
"SALESFORCE.COM, INC.",SAN FRANCISCO,94105,FRONT END WEB DEVELOPER,105000,D,100001 to 125000
"SALESFORCE.COM, INC.",SAN FRANCISCO,94105,PERFORMANCE TOOLS AND AUTOMATION ENGINEER,105000,D,100001 to 125000
"SALESFORCE.COM, INC.",SAN FRANCISCO,94105,"ASSOCIATE PERFORMANCE ENGINEER, CLOUD COMPUTING",105000,D,100001 to 125000
"SALESFORCE.COM, INC.",SAN FRANCISCO,94105,"ASSOCIATE PERFORMANCE ENGINEER, CLOUD COMPUTING",105000,D,100001 to 125000
"SALESFORCE.COM, INC.",SAN FRANCISCO,94105,TOOLS AND AUTOMATION ENGINEER,105000,D,100001 to 125000
"MOLINA HEALTHCARE, INC.",LONG BEACH,90802,SR. PROGRAMMER ANALYST,105000,D,100001 to 125000
"PIVOTAL LABS, INC.",SAN FRANCISCO,94103,SOFTWARE ENGINEER,105000,D,100001 to 125000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER (SOFTWARE DEVELOPER 2),105000,D,100001 to 125000
"RIVERBED TECHNOLOGY, INC.",SAN FRANCISCO,94105,CLOUD CONFIGURATION SOFTWARE ENGINEER,105000,D,100001 to 125000
APPLE INC.,CUPERTINO,95014,MEDIA SYSTEMS PERFORMANCE ENGINEER,105000,D,100001 to 125000
"SALESFORCE.COM, INC.",SAN FRANCISCO,94105,"ASSOCIATE MEMBER OF TECHNICAL STAFF, QUALITY ENGIN",105000,D,100001 to 125000
"SIGNALDEMAND, INC.",SAN FRANCISCO,94111,SENIOR SCIENCE ANALYST,105000,D,100001 to 125000
"GOVERNMENTJOBS.COM, INC.",EL SEGUNDO,90245,SENIOR SOFTWARE DEVELOPMENT ENGINEER,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
"RIVERBED TECHNOLOGY, INC.",SAN FRANCISCO,94105,MEMBER OF TECHNICAL STAFF (QA ENGINEER),105000,D,100001 to 125000
"BROCADE COMMUNICATIONS SYSTEMS, INC.",SAN JOSE,95134,TEST ENGINEER,105000,D,100001 to 125000
"HD SUPPLY, INC.",SAN DIEGO,92131,SENIOR FUNCTIONAL CONFIGURATOR,105000,D,100001 to 125000
BLUE COAT SYSTEMS INC.,SUNNYVALE,94085,STAFF SOFTWARE DEVELOPMENT ENGINEER,105000,D,100001 to 125000
"SALESFORCE.COM, INC.",SAN FRANCISCO,94105,"ASSOCIATE PRFORMANCE ENGINEER, CLOUD COMPUTING",105000,D,100001 to 125000
"BROCADE COMMUNICATIONS SYSTEMS, INC.",SAN JOSE,95134,TECHNICAL SUPPORT ENGINEER,105000,D,100001 to 125000
EBAY INC.,SAN JOSE,95125,WEB DEVELOPER 3,105000,D,100001 to 125000
"NUTANIX, INC.",SAN JOSE,95110,SALES OPERATIONS MANAGER,105000,D,100001 to 125000
"MAGINATICS, INC.",MOUNTAIN VIEW,94041,SOFTWARE ENGINEER,105000,D,100001 to 125000
"HITACHI GLOBAL STORAGE TECHNOLOGIES, INC.",SAN JOSE,95135,SENIOR HARDWARE DEVELOPMENT ENGINEER,105000,D,100001 to 125000
"RIVERBED TECHNOLOGY, INC.",SAN FRANCISCO,94105,MEMBER OF TECHNICAL STAFF (QA ENGINEER),105000,D,100001 to 125000
"FOCUSKPI, INC.",CAMPBELL,95008,SR. PRODUCT MANAGER OF ANALYTICS,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
SYMANTEC CORPORATION,MOUNTAIN VIEW,94043,SR. SOFTWARE ENGINEER,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER (APPLICATIONS DEVELOPER 4),105000,D,100001 to 125000
SPARTA CONSULTING INC.,FOLSOM,95630,CONSULTANT,105000,D,100001 to 125000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER (SOFTWARE DEVELOPER 2),105000,D,100001 to 125000
MARKETSHARE PARTNERS LLC,LOS ANGELES,90025,"SR. ANALYST, SIMULATION & OPTIMIZATION",105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE DEVELOPER,105000,D,100001 to 125000
ASTUTE BUSINESS SOLUTIONS,PLEASANTON,94588,SYSTEMS ANALYST,105000,D,100001 to 125000
"HORTONWORKS, INC.",SUNNYVALE,94085,SOFTWARE ENGINEER,105000,D,100001 to 125000
EBAY INC.,SAN JOSE,95125,PRODUCT MANAGER,105000,D,100001 to 125000
"NETAPP, INC.",SUNNYVALE,94089,"MEMBER TECHNICAL STAFF, QUALITY ASSURANCE",105000,D,100001 to 125000
APPLE INC.,CUPERTINO,95014,ENG SYSTEMS ADMIN 3,105000,D,100001 to 125000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER (SOFTWARE DEVELOPER 2),105000,D,100001 to 125000
"FACEBOOK, INC.",PALO ALTO,94304,SOFTWARE ENGINEER,105000,D,100001 to 125000
"AGILENT TECHNOLOGIES, INC.",SANTA CLARA,95051,R&D SOFTWARE ENGINEER,105000,D,100001 to 125000
NISUM TECHNOLOGIES INC.,BREA,92821,PRINCIPAL SOFTWARE ENGINEER,105000,D,100001 to 125000
GUIDE BY CELL,SAN FRANCISCO,94105,COMPUTER SYSTEMS ANALYST,105000,D,100001 to 125000
"A2Z DEVELOPMENT CENTER, INC.",IRVINE,92618,SOFTWARE DEVELOPMENT ENGINEER II,105000,D,100001 to 125000
"LIVEOFFICE, LLC",TORRANCE,90505,SENIOR QA ENGINEER,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER (SOFTWARE DEVELOPER 2),105000,D,100001 to 125000
"VALIDITY, INC.",SAN JOSE,95110,SOFTWARE SECURITY DESIGN ENG.,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,ELECTRONIC ENGINEER (HARDWARE DEVELOPER 3),105000,D,100001 to 125000
"SILVACO, INC.",SANTA CLARA,95054,SOFTWARE DEVELOPMENT ENGINEER,105000,D,100001 to 125000
ARTHUR LAWRENCE LLC,LOS ANGELES,90025,SR. SOFTWARE DEVELOPER,105000,D,100001 to 125000
"OAKLEY, INC.",FOOTHILL RANCH,92610,BUSINESS SYSTEMS ANALYST,105000,D,100001 to 125000
"GAZILLION, INC.",SAN MATEO,94402,SR. ETL DEVELOPER,105000,D,100001 to 125000
SONY PICTURES HOME ENTERTAINMENT INC.,CULVER CITY,90232,SENIOR BUSINESS ANALYST,105000,D,100001 to 125000
"FOCUSKPI, INC.",CAMPBELL,95008,SR. PRODUCT MANAGER OF ANALYTICS,105000,D,100001 to 125000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER (SOFTWARE DEVELOPER 2),105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
"PAYPAL, INC.",SAN JOSE,95131,SOFTWARE ENGINEER 2,105000,D,100001 to 125000
"GAZILLION, INC.",SAN MATEO,94402,SR. ETL DEVELOPER,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
"PLAYDOM, INC., PART OF THE WALT DISNEY COMPANY",PALO ALTO,94306,SOFTWARE ENGINEER,105000,D,100001 to 125000
MARKETSHARE PARTNERS LLC,LOS ANGELES,90025,TECHNICAL ARCHITECT,105000,D,100001 to 125000
"ADAPT.TV, INC.",SAN MATEO,94403,SOFTWARE ENGINEER,105000,D,100001 to 125000
EMBARCADERO SYSTEMS CORPORATION,ALAMEDA,94502,BUSINESS SYSTEMS ANALYST,105000,D,100001 to 125000
"FACEBOOK, INC.",PALO ALTO,94304,USER INTERFACE ENGINEER,105000,D,100001 to 125000
"ONLIVE, INC.",PALO ALTO,94301,SOFTWARE QA ENGINEER,105000,D,100001 to 125000
"BECOME, INC.",SUNNYVALE,94086,SOFTWARE ENGINEER,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
"SKYPE, INC.",PALO ALTO,94304,SENIOR SOFTWARE ENGINEER  SKYPE FOR BUSINESS,105000,D,100001 to 125000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER (SOFTWARE DEVELOPER 2),105000,D,100001 to 125000
"QUORA, INC.",PALO ALTO,94301,DATA ANALYST,105000,D,100001 to 125000
"ID ANALYTICS, INC.",SAN DIEGO,92128,SCIENTIST,105000,D,100001 to 125000
INFORMATICA CORPORATION,REDWOOD CITY,94063,SENIOR WEB PROGRAMMER ANALYST,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
INFORMATICA CORPORATION,REDWOOD CITY,94063,"SENIOR CONSULTANT, FINANCIAL SERVICES",105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
SANDISK CORPORATION,MILPITAS,95035,SR. VERIFICATION ENGINEER,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
"TESLA MOTORS, INC.",PALO ALTO,94304,FORMABILITY/FEASIBILITY ENGINEER -STAMPING,105000,D,100001 to 125000
"NEXTAG, INC.",SAN MATEO,94403,SOFTWARE QUALITY ASSURANCE ENGINEER II,105000,D,100001 to 125000
NISUM TECHNOLOGIES INC.,BREA,92821,SOFTWARE ARCHITECT,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
"ADAPT.TV, INC.",SAN MATEO,94403,SOFTWARE ENGINEER,105000,D,100001 to 125000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER (SOFTWARE DEVELOPER 2),105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
"NUTANIX, INC.",SAN JOSE,95110,"MEMBER OF TECHNICAL STAFF, QUALITY AUTOMATION",105000,D,100001 to 125000
"PLAYDOM, INC., PART OF THE WALT DISNEY COMPANY",PALO ALTO,94306,SOFTWARE ENGINEER,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
"FACEBOOK, INC.",PALO ALTO,94304,FRONT END ENGINEER,105000,D,100001 to 125000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,ELECTRONIC ENGINEER (HARDWARE DEVELOPER 3),105000,D,100001 to 125000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER (SOFTWARE DEVELOPER 2),105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
"SALESFORCE.COM, INC.",SAN FRANCISCO,94105,SOFTWARE DEVELOPMENT ENGINEER,105000,D,100001 to 125000
"SUCCESSFACTORS, INC.",SAN MATEO,94404,SOFTWARE ENGINEER - USER INTERFACE,105000,D,100001 to 125000
"SALESFORCE.COM, INC.",SAN FRANCISCO,94105,"ASSOCIATE PRODUCT SECURITY ENGINEER, CLOUD COMPUTI",105000,D,100001 to 125000
"TESLA MOTORS, INC.",PALO ALTO,94304,LIGHTING PROJECT ENGINEER,105000,D,100001 to 125000
"SALESFORCE.COM, INC.",SAN FRANCISCO,94105,SOFTWARE QUALITY ENGINEER,105000,D,100001 to 125000
"PRIMITIVE LOGIC, INC.",SAN FRANCISCO,94111,SENIOR SOFTWARE DEVELOPER,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
"SALESFORCE.COM, INC.",SAN FRANCISCO,94105,"AMTS, SOFTWARE QUALITY ENGINEER",105000,D,100001 to 125000
"SALESFORCE.COM, INC.",SAN FRANCISCO,94105,"ASSOCIATE MEMBER OF TECHNICAL STAFF, CORE INFRASTR",105000,D,100001 to 125000
SONY PICTURES HOME ENTERTAINMENT INC.,CULVER CITY,90232,SENIOR BUSINESS ANALYST,105000,D,100001 to 125000
INFORMATICA CORPORATION,REDWOOD CITY,94063,PROFESSIONAL SERVICES SENIOR CONSULTANT,105000,D,100001 to 125000
EXIGEN CAPITAL MANMAGEMENT LLC,SAN FRANCISCO,94104,ASSOCIATE,105000,D,100001 to 125000
UST GLOBAL INC.,ALISO VIEJO,92656,PROJECT MANAGER,105000,D,100001 to 125000
"INTEGRATED DEVICE TECHNOLOGY, INC.",SAN JOSE,95138,SR. VERIFICATION ENGINEER,105000,D,100001 to 125000
"UNIVERSITY OF CALIFORNIA, IRVINE",IRVINE,92697,ASSISTANT PROFESSOR,105000,D,100001 to 125000
"EQUINIX, INC.",REDWOOD CITY,94065,SHAREPOINT DEVELOPER,105000,D,100001 to 125000
EBAY INC.,SAN JOSE,95125,SOFTWARE ENGINEER 2,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,TEST ENGINEER,105000,D,100001 to 125000
NVIDIA CORPORATION,SANTA CLARA,95050,ENGINEER SENIOR ASIC DESIGN,105000,D,100001 to 125000
"GUTHY-RENKER, LLC",SANTA MONICA,90405,SOFTWARE SYSTEMS ANALYST & DEVELOPER,105000,D,100001 to 125000
"PAYPAL, INC.",SAN JOSE,95131,LEAD RISK ANALYST,105000,D,100001 to 125000
"CITYGRID MEDIA, LLC",WEST HOLLYWOOD,90069,SR. SOFTWARE ENGINEER,105000,D,100001 to 125000
"SIMPLY HIRED, INC.",SUNNYVALE,94085,SENIOR SOFTWARE ENGINEER,105000,D,100001 to 125000
GOOGLE INC.,MOUNTAIN VIEW,94043,SOFTWARE ENGINEER,105000,D,100001 to 125000
